Date,PM10,PM25,NO2
31-08-20,26.49,15.66,60.1
01-09-20,26.23,11.47,66.58
02-09-20,32.24,11.89,55.71
03-09-20,29.5,13.47,52.46
04-09-20,12.98,10.09,34.64
05-09-20,15.84,11.09,27.59
06-09-20,18.42,13.71,36.15
07-09-20,31.46,20.4,65.22
08-09-20,32.63,14.87,54.31
09-09-20,30.39,11.63,56.8
10-09-20,43.22,18.62,60.9
11-09-20,39.52,15.51,59.03
12-09-20,33.61,10.42,43.64
13-09-20,38.67,20.27,41.6
14-09-20,33.29,15.35,65.22
15-09-20,28.38,8.1,53.02
16-09-20,36.31,10.24,55.86
17-09-20,41.26,16.92,44.11
18-09-20,53.56,12.64,53.16
19-09-20,24.46,7.62,36.04
20-09-20,29.65,14,44.94
21-09-20,31.12,11.19,60.21
22-09-20,34.8,12.01,62.04
23-09-20,32.29,13.53,61.2
24-09-20,42.89,17.88,60.47
25-09-20,48.3,21.29,66.94
26-09-20,28.09,13.63,40.33
27-09-20,9.64,5.7,23.12
28-09-20,26.09,10.53,59.92
29-09-20,14.85,8.91,22.99
30-09-20,10.54,6.87,19.01
01-10-20,15.34,8.52,21.04
02-10-20,26.69,14.49,38.38
03-10-20,33.47,18.59,67.8
04-10-20,29.1,14.34,45.76
05-10-20,37.77,16.12,59.23
06-10-20,24.85,10.03,36.65
07-10-20,16.15,8.32,34.47
08-10-20,13.68,6.95,28.29
09-10-20,8.64,8.5,43.12
10-10-20,19.16,10.99,31.15
11-10-20,30.87,21.48,34.7
12-10-20,26.57,16.13,60.44
13-10-20,18.71,10.93,35.31
14-10-20,15.27,9.96,33.26
15-10-20,24.95,14.54,61.54
16-10-20,36.59,19.32,53.96
17-10-20,20.43,7.06,16.99
18-10-20,21.07,9.84,22.77
19-10-20,24.04,13.74,55.78
20-10-20,31.61,20.92,65.31
21-10-20,31.89,20.92,51.44
22-10-20,29.27,20.24,48.95
23-10-20,36.49,25.79,53.19
24-10-20,55.05,41.92,56.52
25-10-20,32.46,23.02,35.26
26-10-20,35.37,26.51,37.53
27-10-20,31.25,25.56,51.5
28-10-20,34.51,26.46,31.2
29-10-20,36.92,29.32,26.95
30-10-20,27.99,22.71,29.23
31-10-20,26.62,22.31,31.24
01-11-20,18.19,19.63,19.17
02-11-20,29.88,21.85,42.38
03-11-20,37.95,27.92,49.02
04-11-20,21.17,15.43,37.5
05-11-20,31.18,22.9,45.09
06-11-20,25.61,19.58,27.54
07-11-20,37.25,29.64,38.16
08-11-20,35.57,30.74,30.2
09-11-20,29.66,23.06,38.16
10-11-20,26.95,12.6,31.55
11-11-20,16.43,15.77,40.57
12-11-20,21.93,15.09,46.66
13-11-20,42.35,32.22,30.85
14-11-20,43.57,36.17,30.12
15-11-20,33.75,29.18,30.36
16-11-20,48.55,37.77,42.53
17-11-20,70.57,55.57,45.59
18-11-20,30.2,26.54,34.48
19-11-20,26.91,17.61,32.31
20-11-20,14.65,9.35,21.58
21-11-20,11.79,6.58,27.13
22-11-20,16.52,11.96,18.76
23-11-20,24.28,17.94,38.03
24-11-20,46.78,34.14,51.6
25-11-20,42.51,35.13,45.52
26-11-20,53.55,42.29,53.96
27-11-20,46.52,36.9,50.33
28-11-20,58.63,44.6,43.59
29-11-20,35.78,28.74,34.55
30-11-20,23.87,20.4,40.45
01-12-20,19.62,17.67,37.72
02-12-20,30.25,25.32,45.14
03-12-20,25.48,22.6,48.77
04-12-20,27.7,20.87,45.86
05-12-20,23.24,16.73,33.02
06-12-20,12.36,9.59,23.22
07-12-20,13.31,10.2,31.78
08-12-20,15.48,17.98,39.96
09-12-20,16.03,12.94,28.4
10-12-20,13.02,10.46,47.87
11-12-20,19.54,16.64,42.53
12-12-20,9.77,5.38,45.59
13-12-20,12.05,9.64,34.48
14-12-20,23.81,19.13,32.31
15-12-20,43.65,24.19,33.67
16-12-20,27.58,23.06,41.81
17-12-20,26.86,21.35,60.1
18-12-20,21.86,17.35,34.62
19-12-20,26.57,20.69,36.95
20-12-20,24.3,19.28,42.23
21-12-20,19.96,16.48,51.86
22-12-20,25.54,22.48,47.45
23-12-20,23.02,19.45,26.68
24-12-20,52.76,44.48,41.46
25-12-20,51.06,42.37,33.97
26-12-20,10.27,13.84,13.2
27-12-20,8.02,25.77,20.58
28-12-20,19.9,14.7,41.29
29-12-20,28.33,19.13,58.54
30-12-20,53.6,37.42,70
31-12-20,35.84,27.79,39.76
01-01-21,21.64,18.52,16.32
02-01-21,30.14,26.09,29.71
03-01-21,21.95,14.23,27.14
04-01-21,27.61,16.82,26.75
05-01-21,15.98,11.65,17.37
06-01-21,37.08,25.92,54.64
07-01-21,24.92,21.66,29.36
08-01-21,8.77,7.31,44.36
09-01-21,15.26,13.54,35.6
10-01-21,15.13,13.76,22.31
11-01-21,8.44,7.23,30.04
12-01-21,14.33,11.9,35.48
